id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa	country_iso_num_code	wikipedia_url	established_year	page_id	namespace	title	is_redirect	is_new	touched	links_updated	latest	len	content_model	page_edits	creation	editors	views	references	langlinks	univ_age	page_age	pp_top	1y_views	2y_views
6	Univ Graz	3435	1468	413	138	2876	2273	40.0	University_of_Graz	1585.0	352642	0	University_of_Graz	0	0	20210630235338	20210630235356.0	1029166363	14288	wikitext	282.0	2003-10-29	187.0	5330.0	9.0	45	436.0	18	0.12023289665211062	29625	62817
8	Graz Univ Technol	3481	1545	444	177	2927	1917	40.0	Graz_University_of_Technology	1811.0	985188	0	Graz_University_of_Technology	0	0	20210626181333	20210624122804.0	1019599621	11728	wikitext	266.0	2004-09-14	132.0	9628.0	14.0	18	210.0	17	0.12754955472565355	53976	116254
10	Univ Innsbruck	5704	2244	705	216	4838	3957	40.0	University_of_Innsbruck	1669.0	630651	0	University_of_Innsbruck	0	0	20210626181111	20210624143416.0	1018704964	14998	wikitext	272.0	2004-05-02	166.0	5561.0	3.0	37	352.0	17	0.12359747545582048	37957	94553
14	Johannes Kepler Univ Linz	2628	1250	291	124	2124	1490	40.0	Johannes_Kepler_University_Linz	1966.0	1267093	0	Johannes_Kepler_University_Linz	0	0	20210626181521	20210623122544.0	1016738358	13211	wikitext	156.0	2004-12-11	82.0	3196.0	9.0	17	55.0	17	0.11073059360730593	18911	40356
15	Univ Salzburg	1850	851	230	99	1507	1163	40.0	University_of_Salzburg	1622.0	1267399	0	University_of_Salzburg	0	0	20210626181522	20210624135418.0	1023529717	9565	wikitext	140.0	2004-12-11	97.0	4463.0		23	399.0	17	0.12432432432432433	29094	66519
19	Vienna Univ Technol	6679	2809	822	303	5581	4161	40.0	Vienna_University_of_Technology	1815.0	1267354	0	TU_Wien	0	0	20210626181522	20210623124003.0	1029714251	18741	wikitext	406.0	2004-12-11	196.0	6977.0	13.0	34	206.0	17	0.12307231621500224	38545	83054
21	Univ Nat Resources & Life Sci - Vienna	3806	1690	537	185	3258	2210	40.0	University_of_Natural_Resources_and_Life_Sciences,_Vienna	1872.0	1403871	0	University_of_Natural_Resources_and_Life_Sciences,_Vienna	0	0	20210626181634	20210623130847.0	1018894978	10474	wikitext	195.0	2005-01-17	75.0	2575.0		6	149.0	16	0.14109301103520758	16232	31759
22	Univ Vet Med Vienna	2129	916	263	93	1828	1411	40.0	University_of_Veterinary_Medicine_Vienna	1767.0	1267435	0	University_of_Veterinary_Medicine_Vienna	0	0	20210626181522	20210623125846.0	1025980456	3269	wikitext	56.0	2004-12-11	37.0	638.0	1.0	5	254.0	17	0.12353217472992015	5139	10547
24	Univ Vienna	10052	4201	1451	512	8508	6859	40.0	University_of_Vienna	1365.0	53049	0	University_of_Vienna	0	0	20210627082740	20210623122040.0	1029724110	28830	wikitext	715.0	2002-05-23	466.0	21736.0	11.0	71	656.0	19	0.14434938320732194	123962	260778
35	Univ Antwerp	13187	3964	2016	479	12229	9074	56.0	Universiteit_Antwerpen		844674	0	University_of_Antwerp	0	0	20210628084033	20210628084343.0	1030835289	17551	wikitext	415.0	2004-07-20	201.0	4962.0	13.0	27		17	0.15287783423068174	29073	58967
36	Vrije Univ Brussel	7628	2766	1085	290	6738	4472	56.0	Vrije_Universiteit_Brussel	1834.0	385877	0	Vrije_Universiteit_Brussel	0	0	20210629135733	20210629140552.0	1029405007	34367	wikitext	571.0	2003-12-03	248.0	8098.0	17.0	35	187.0	18	0.14223911903513373	48959	102181
40	Univ Libre Bruxelles	8368	3026	1313	332	7284	5816	56.0	Université_Libre_de_Bruxelles		385994	0	Université_libre_de_Bruxelles	0	0	20210626180937	20210625152910.0	1030233881	26117	wikitext	533.0	2003-12-03	293.0	9221.0	15.0	37		18	0.15690726577437858	60506	120949
41	Hasselt Univ	2652	917	329	94	2444	1811	56.0	University_of_Hasselt	1971.0	1486059	0	Hasselt_University	0	0	20210626181700	20210623144454.0	1030039902	17754	wikitext	222.0	2005-02-09	125.0	2028.0	3.0	11	50.0	16	0.12405731523378583	11342	22600
42	Ghent Univ	19365	8145	2984	968	16372	11544	56.0	Universiteit_Gent		268040	0	Ghent_University	0	0	20210630224517	20210630225018.0	1031307332	31393	wikitext	633.0	2003-07-15	324.0	9658.0	23.0	39		18	0.15409243480506069	57703	125004
43	Katholieke Univ Leuven	25559	10855	4306	1462	21720	15571	56.0	Katholieke_Universiteit_Leuven	1425.0	29975400	0	KU_Leuven	0	0	20210630195920	20210626192252.0	1028531265	47305	wikitext	1330.0	2002-10-18	556.0	27764.0	25.0	47	596.0	19	0.16847294495089793	131394	248977
44	Univ Liège	7746	3122	1074	328	6680	5042	56.0	Université_de_Liège		2273279	0	University_of_Liège	0	0	20210627082802	20210624141758.0	1025298891	16155	wikitext	260.0	2005-07-20	139.0	4154.0	11.0	33		16	0.1386522075910147	25289	60597
